ref_area,indicator,source,sex,time,obs_value,obs_status,note_source,note_indicator
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2012,84.385,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2012,31.546,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2012,52.839,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2011,51.878,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2011,24.44,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2011,27.438,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2010,48.52,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2010,21.709,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2010,26.81,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2009,43.599,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2009,15.735,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2009,27.864,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2008,50.437,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2008,23.984,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2008,26.452,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_T,2007,29.774,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_M,2007,8.202,,R1:3513_T2:85,
AUT,EMP_NIFL_SEX_NB,BB:275,SEX_F,2007,21.571,,R1:3513_T2:85,
BDI,EMP_NIFL_SEX_NB,BB:7040,SEX_T,2014,3613.406,,R1:3513,
BDI,EMP_NIFL_SEX_NB,BB:7040,SEX_M,2014,1615.358,,R1:3513,
BDI,EMP_NIFL_SEX_NB,BB:7040,SEX_F,2014,1998.048,,R1:3513,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2022,59.86,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2022,28.503,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2022,31.356,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2021,68.748,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2021,37.684,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2021,31.065,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2020,58.745,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2020,24.654,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2020,34.091,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2019,78.939,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2019,28.581,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2019,50.358,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2018,118.525,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2018,53.857,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2018,64.668,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2017,125.833,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2017,52.214,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2017,73.618,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2016,110.987,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2016,41.952,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2016,69.035,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2015,106.758,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2015,44.213,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2015,62.546,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2014,126.559,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2014,44.104,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2014,82.455,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2013,121.491,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2013,41.867,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2013,79.624,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2012,101.957,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2012,39.958,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2012,61.999,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2011,117.729,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2011,52.79,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2011,64.94,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2010,123.365,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2010,52.153,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2010,71.212,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2009,135.601,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2009,54.15,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2009,81.451,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2008,98.232,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2008,41.703,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2008,56.529,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_T,2007,137.354,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_M,2007,61.507,,R1:3513_T2:85,
BEL,EMP_NIFL_SEX_NB,BB:276,SEX_F,2007,75.846,,R1:3513_T2:85,
BEN,EMP_NIFL_SEX_NB,BB:426,SEX_T,2022,5245.766,,R1:3513,
